"Name";"Idx";"Razdel";"Kod";"Nomdescr";"global_id";
"Наименование";"Индекс";"Код раздела";"Код";"Описание";"global_id";
"Услуги, предоставляемые профессиональными членскими организациями";"S.94.12.10";"S";"94.12.10";"Эта группировка включает: - услуги по представительству, услуги, связанные с переговорами, услуги по распространению информации и аналогичные услуги, оказываемые профессиональными организациями, интересы членов которых сосредоточены на отраслях знаний или профессиональной практической деятельности или технических областях в целом или в конкретной области; - услуги, предоставляемые научными обществами Эта группировка не включает: - услуги в области образования, предоставляемые данными организациями, см. 85";"273497036";
"Услуги, предоставляемые профессиональными членскими организациями";"S.94.12.10.000";"S";"94.12.10.000";"";"273497038";
"Услуги, предоставляемые профессиональными союзами";"S.94.2";"S";"94.2";"";"273497040";
"Услуги, предоставляемые профессиональными союзами";"S.94.20";"S";"94.20";"";"273497042";
"Услуги, предоставляемые профессиональными союзами";"S.94.20.1";"S";"94.20.1";"";"273497044";
"Услуги, предоставляемые профессиональными союзами";"S.94.20.10";"S";"94.20.10";"Эта группировка включает: - услуги по представительству, услуги, связанные с переговорами и услуги по распространению информации о мнении членов по вопросам условий труда и организационные, услуги по согласованным действиям, которые предоставляют объединения, членами которых являются, в основном, лица наемного труда Эта группировка не включает: - услуги в области образования, предоставляемые данными организациями, см. 85";"273497046";
"Услуги, предоставляемые профессиональными союзами";"S.94.20.10.000";"S";"94.20.10.000";"";"273497048";
"Услуги прочих общественных и прочих некоммерческих организаций, не включенных в другие группировки";"S.94.9";"S";"94.9";"";"273497051";
"Деятельность религиозных организаций";"S.94.91";"S";"94.91";"";"273497054";
"Деятельность религиозных организаций";"S.94.91.1";"S";"94.91.1";"";"273497056";
"Деятельность религиозных организаций";"S.94.91.10";"S";"94.91.10";"Эта группировка включает: - деятельность религиозных организаций в целях совместного исповедания и распространения веры, и не имеет объектов классификации продукции, услуг, работ для целей учета экономической деятельности";"273497058";
"Деятельность религиозных организаций";"S.94.91.10.000";"S";"94.91.10.000";"";"273497060";
"Услуги, предоставляемые политическими организациями";"S.94.92";"S";"94.92";"";"273497062";
"Услуги, предоставляемые политическими организациями";"S.94.92.1";"S";"94.92.1";"";"273497064";
"Услуги, предоставляемые политическими организациями";"S.94.92.10";"S";"94.92.10";"Эта группировка включает: - услуги по распространению информации, по связям с общественностью, сбору средств и аналогичные услуги, оказываемые политическими партиями и аналогичными организациями, нацеленными на продвижение членов своих партий или сочувствующих партии лиц на политические посты";"273497067";
"Услуги, предоставляемые политическими организациями";"S.94.92.10.000";"S";"94.92.10.000";"";"273497069";
"Услуги прочих общественных организаций и прочих некоммерческих организаций, кроме религиозных и политических организаций";"S.94.99";"S";"94.99";"";"273497071";
"Услуги прочих общественных организаций и прочих некоммерческих организаций, кроме услуг по предоставлению стипендии или пособий";"S.94.99.1";"S";"94.99.1";"Эта группировка не включает: - услуги по предоставлению грантов";"273497073";
"Услуги, предоставляемые правозащитными организациями";"S.94.99.11";"S";"94.99.11";"Эта группировка включает: - услуги правозащитных организаций, направленные на укрепление и развитие институтов гражданского общества, на защиту прав и свобод человека, таких как гражданские инициативы и публичные мероприятия, и т. д.";"273497075";
"Услуги, предоставляемые правозащитными организациями";"S.94.99.11.000";"S";"94.99.11.000";"";"273497078";
"Услуги, предоставляемые организациями по защите окружающей среды";"S.94.99.12";"S";"94.99.12";"Эта группировка включает: - услуги, предоставляемые членскими организациями, такими как организации по защите окружающей среды, природоохранные организации и организации по защите живой природы, с целью продвижения защиты окружающей среды посредством распространения информации, политического влияния, сбора средств и т. д.";"273497080";
"Услуги по защите особых групп населения";"S.94.99.13";"S";"94.99.13";"Эта группировка включает: - услуги, предоставляемые организациями по защите и улучшению положения особых групп населения, таких как инвалиды, этнические группы и меньшинства, посредством общественного образования и т. д.; - услуги поддержки местной общественностью, социальной деятельности и т. д.; - услуги организаций по развитию межнационального сотрудничества, сохранению и защите самобытности, культуры, языков и традиций народов Российской Федерации; - услуги организаций по социальной и культурной адаптации и интеграции мигрантов";"273497084";
"Услуги по защите особых групп населения";"S.94.99.13.000";"S";"94.99.13.000";"";"273497086";
"Услуги по улучшению положения гражданского населения и поддержке общественности прочие";"S.94.99.14";"S";"94.99.14";"Эта группировка включает: - услуги, оказываемые организациями с целью содействовать решению общественных проблем посредством распространения информации; - услуги организаций патриотического направления, в том числе военно-патриотического воспитания граждан Российской Федерации, включая объединения ветеранов войны; - услуги по проведению поисковой работы, направленной на выявление неизвестных воинских захоронений и непогребенных останков защитников Отечества, установление имен погибших и пропавших без вести при защите Отечества; - услуги организаций по увековечению памяти жертв политических репрессий; - прочие услуги организаций для поддержки общественной, социальной и образовательной деятельности";"273497088";
